Agent,Epiphysis,Length(mm),Interval(length),Number_of_planes,Notch,Notch_a,Notch_c,Notch_d,Fracture_plane,Angle,Type_of_angle,>4cm
carnivore,Absent,42,40-49mm,2,Absent,Absent,Absent,Absent,Longitudinal,82,Acute,Absent
carnivore,Absent,42,40-49mm,2,Absent,Absent,Absent,Absent,Longitudinal,87,Right,Absent
carnivore,Absent,46,40-49mm,1,Absent,Absent,Absent,Absent,Oblique,73,Acute,Present
carnivore,Absent,48,40-49mm,3,Absent,Absent,Absent,Absent,Longitudinal,84,Acute,Absent
carnivore,Absent,48,40-49mm,3,Absent,Absent,Absent,Absent,Longitudinal,90,Right,Absent
carnivore,Absent,48,40-49mm,3,Absent,Absent,Absent,Absent,Longitudinal,99,Obtuse,Absent
carnivore,Absent,48,40-49mm,3,Absent,Absent,Absent,Absent,Oblique,117,Obtuse,Absent
carnivore,Absent,48,40-49mm,3,Absent,Absent,Absent,Absent,Longitudinal,71,Acute,Present
carnivore,Absent,48,40-49mm,4,Absent,Absent,Absent,Absent,Oblique,78,Acute,Absent
carnivore,Absent,45,40-49mm,4,Absent,Absent,Absent,Absent,Oblique,84,Acute,Absent
carnivore,Absent,48,40-49mm,4,Absent,Absent,Absent,Absent,Longitudinal,97,Obtuse,Absent
carnivore,Absent,48,40-49mm,4,Absent,Absent,Absent,Absent,Oblique,132,Obtuse,Absent
carnivore,Absent,53,50-59mm,2,Absent,Absent,Absent,Absent,Longitudinal,81,Acute,Absent
carnivore,Absent,53,50-59mm,2,Absent,Absent,Absent,Absent,Longitudinal,91,Right,Present
carnivore,Absent,53,50-59mm,3,Absent,Absent,Absent,Absent,Oblique,68,Acute,Present
carnivore,Absent,53,50-59mm,3,Absent,Absent,Absent,Absent,Longitudinal,77,Acute,Present
carnivore,Absent,54,50-59mm,1,Absent,Absent,Absent,Absent,Longitudinal,91,Right,Present
carnivore,Absent,56,50-59mm,2,Absent,Absent,Absent,Absent,Oblique,57,Acute,Absent
carnivore,Absent,56,50-59mm,2,Absent,Absent,Absent,Absent,Longitudinal,84,Acute,Absent
carnivore,Absent,57,50-59mm,3,Absent,Absent,Absent,Absent,Oblique,57,Acute,Absent
carnivore,Absent,57,50-59mm,3,Absent,Absent,Absent,Absent,Longitudinal,104,Obtuse,Absent
carnivore,Absent,57,50-59mm,3,Absent,Absent,Absent,Absent,Longitudinal,104,Obtuse,Absent
carnivore,Absent,57,50-59mm,3,Present,Present,Absent,Absent,Oblique,48,Acute,Absent
carnivore,Absent,57,50-59mm,3,Present,Present,Absent,Absent,Oblique,78,Acute,Absent
carnivore,Absent,57,50-59mm,3,Present,Present,Absent,Absent,Longitudinal,125,Obtuse,Absent
carnivore,Absent,60,60-69mm,2,Absent,Absent,Absent,Absent,Oblique,78,Acute,Present
carnivore,Absent,60,60-69mm,2,Absent,Absent,Absent,Absent,Longitudinal,93,Right,Present
carnivore,Absent,61,60-69mm,2,Absent,Absent,Absent,Absent,Oblique,62,Acute,Absent
carnivore,Absent,61,60-69mm,2,Absent,Absent,Absent,Absent,Longitudinal,82,Acute,Present
carnivore,Absent,62,60-69mm,3,Absent,Absent,Absent,Absent,Oblique,72,Acute,Absent
carnivore,Absent,62,60-69mm,3,Absent,Absent,Absent,Absent,Longitudinal,85,Right,Absent
carnivore,Absent,62,60-69mm,4,Absent,Absent,Absent,Absent,Oblique,55,Acute,Absent
carnivore,Absent,62,60-69mm,4,Absent,Absent,Absent,Absent,Longitudinal,96,Obtuse,Absent
carnivore,Absent,62,60-69mm,4,Absent,Absent,Absent,Absent,Oblique,74,Acute,Present
carnivore,Absent,65,60-69mm,1,Absent,Absent,Absent,Absent,Longitudinal,76,Acute,Present
carnivore,Absent,65,60-69mm,3,Absent,Absent,Absent,Absent,Oblique,70,Acute,Absent
carnivore,Absent,65,60-69mm,3,Absent,Absent,Absent,Absent,Longitudinal,58,Acute,Present
carnivore,Absent,65,60-69mm,4,Absent,Absent,Absent,Absent,Longitudinal,75,Acute,Absent
carnivore,Absent,65,60-69mm,4,Absent,Absent,Absent,Absent,Oblique,109,Obtuse,Absent
carnivore,Absent,65,60-69mm,4,Absent,Absent,Absent,Absent,Oblique,127,Obtuse,Absent
carnivore,Absent,65,60-69mm,4,Absent,Absent,Absent,Absent,Longitudinal,77,Acute,Present
carnivore,Absent,66,60-69mm,3,Present,Absent,Absent,Absent,Longitudinal,77,Acute,Absent
carnivore,Absent,66,60-69mm,3,Present,Absent,Absent,Absent,Oblique,47,Acute,Present
carnivore,Absent,67,60-69mm,4,Absent,Absent,Absent,Absent,Oblique,90,Right,Absent
carnivore,Absent,67,60-69mm,4,Absent,Absent,Absent,Absent,Oblique,70,Acute,Present
carnivore,Absent,67,60-69mm,4,Absent,Absent,Absent,Absent,Oblique,89,Right,Present
carnivore,Absent,68,60-69mm,2,Absent,Absent,Absent,Absent,Longitudinal,75,Acute,Present
carnivore,Absent,68,60-69mm,2,Absent,Absent,Absent,Absent,Longitudinal,125,Obtuse,Present
carnivore,Absent,68,60-69mm,3,Absent,Absent,Absent,Absent,Oblique,77,Acute,Absent
carnivore,Absent,68,60-69mm,3,Absent,Absent,Absent,Absent,Longitudinal,84,Acute,Present
carnivore,Absent,68,60-69mm,3,Absent,Absent,Absent,Absent,Oblique,110,Obtuse,Present
carnivore,Absent,71,70-79mm,3,Absent,Absent,Absent,Absent,Oblique,104,Obtuse,Absent
carnivore,Absent,71,70-79mm,3,Absent,Absent,Absent,Absent,Longitudinal,122,Obtuse,Absent
carnivore,Absent,71,70-79mm,3,Absent,Absent,Absent,Absent,Oblique,78,Acute,Present
carnivore,Absent,73,70-79mm,4,Absent,Absent,Absent,Absent,Oblique,55,Acute,Absent
carnivore,Absent,73,70-79mm,4,Absent,Absent,Absent,Absent,Oblique,73,Acute,Absent
carnivore,Absent,73,70-79mm,4,Absent,Absent,Absent,Absent,Oblique,105,Obtuse,Absent
carnivore,Absent,73,70-79mm,4,Absent,Absent,Absent,Absent,Longitudinal,71,Acute,Present
carnivore,Absent,75,70-79mm,3,Absent,Absent,Absent,Absent,Oblique,136,Obtuse,Absent
carnivore,Absent,75,70-79mm,3,Absent,Absent,Absent,Absent,Longitudinal,82,Acute,Present
