Specimen,BreakNo,ep1,ep2,ep1_x,ep1_y,ep1_z,ep2_x,ep2_y,ep2_z
MN10AA0101,1,0,1,69.2413,26.3087,-81.9148,71.9521,22.9743,-12.6058
MN10AA0101,2,1,2,71.9521,22.9743,-12.6058,76.0808,25.588,-77.1129
MN10AA0101,3,2,0,76.0808,25.588,-77.1129,69.2413,26.3087,-81.9148
MN10AA0105,1,0,1,77.5448,19.4594,-49.075,86.6631,15.1506,-35.9707
MN10AA0105,2,1,2,86.6631,15.1506,-35.9707,84.5008,16.5721,-33.2476
MN10AA0105,3,2,3,84.5008,16.5721,-33.2476,79.8112,20.4625,-29.3609
MN10AA0105,4,3,4,79.8112,20.4625,-29.3609,77.6434,21.7334,-28.2838
MN10AA0105,5,5,6,72.3396,23.9473,-27.7581,48.1293,23.1598,-35.0594
MN10AA0105,6,6,0,48.1293,23.1598,-35.0594,77.5448,19.4594,-49.075
MN10AA0105,7,4,5,77.6434,21.7334,-28.2838,72.3396,23.9473,-27.7581
MN10AA0203,1,0,1,56.3214,13.1131,-109.686,69.3347,24.5288,-61.4392
MN10AA0203,2,1,2,69.3347,24.5288,-61.4392,54.7021,14.6618,-32.8567
MN10AA0203,3,2,3,54.7021,14.6618,-32.8567,46.2776,25.5378,-44.5624
MN10AA0203,4,3,0,46.2776,25.5378,-44.5624,56.3214,13.1131,-109.686
MN10AA0207,1,0,1,55.0446,17.0407,-19.8087,41.782,19.7107,-28.8899
MN10AA0207,2,1,2,41.782,19.7107,-28.8899,52.7752,18.3025,-50.547
MN10AA0207,3,2,3,52.7752,18.3025,-50.547,64.4263,18.43,-53.7418
MN10AA0207,4,3,0,64.4263,18.43,-53.7418,55.0446,17.0407,-19.8087
MN10AA0302,1,0,1,53.111,18.126,-97.7552,64.3427,21.3311,-42.3436
MN10AA0302,2,1,2,64.3427,21.3311,-42.3436,59.6982,19.486,-30.4787
MN10AA0302,3,4,0,48.7785,23.9086,-29.3391,53.111,18.126,-97.7552
MN10AA0302,4,2,3,59.6982,19.486,-30.4787,52.5358,19.7884,-24.7429
MN10AA0302,5,3,4,52.5358,19.7884,-24.7429,48.7785,23.9086,-29.3391
MN10AA0304,1,0,1,46.5349,23.1445,-33.9533,34.9286,24.925,-49.0141
MN10AA0304,2,2,3,34.8976,26.0858,-53.3059,35.3376,28.4603,-73.7276
MN10AA0304,3,3,4,35.3376,28.4603,-73.7276,37.8354,28.9196,-111.659
MN10AA0304,4,4,5,37.8354,28.9196,-111.659,39.9945,22.0373,-132.366
MN10AA0304,5,5,6,39.9945,22.0373,-132.366,49.0009,15.3519,-138.608
MN10AA0304,6,6,7,49.0009,15.3519,-138.608,59.8053,18.4505,-139.428
