Specimen,BreakNo,Count,Mean,Median,STD,Max,Min,Range,ArcLength,EuclideanLength,ArcAngle,interior_edge,Interrupted,Interruptedby,ridge_notch,interior_notch,Species,Common,SzCl,SizeRangeLb,SizeRangeKg,SkelPort,LPort,Element,Side,ActorTaxon,Effector,trab,Surface Area,Volume,Bounding Box Dim1,Bounding Box Dim2,Bounding Box Dim3
MN10AA0101,1,22,84.28056922727272,87.358612,10.133738390132066,94.493729,51.146866,43.346863,72.00989454154077,69.44209199757738,4.534787812229425,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,right,Homo sapiens,HSAnv,False,2140.8706,3382.5182291666665,82.50109,11.880726,8.557568
MN10AA0101,2,20,101.80023345000001,108.9017675,14.88191568414073,130.211182,76.615349,53.59583300000001,65.35457974794049,64.69191249136169,1.5948907199688032,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,right,Homo sapiens,HSAnv,False,2140.8706,3382.5182291666665,82.50109,11.880726,8.557568
MN10AA0101,3,2,138.645195,138.645195,4.724388000000005,143.369583,133.920807,9.44877600000001,8.673346036188526,8.387872933586921,58.557138872289705,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,right,Homo sapiens,HSAnv,False,2140.8706,3382.5182291666665,82.50109,11.880726,8.557568
MN10AA0105,1,7,74.35226085714285,82.994331,17.621606746251533,96.797462,47.578613,49.218849,17.613477032345642,16.535774273374685,55.817387023188765,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,right,Homo sapiens,HSAnv,False,1272.3094,1816.0100911458333,42.09954,21.448988,9.260241
MN10AA0105,2,1,138.274826,138.274826,0.0,138.274826,138.274826,0.0,3.893983038021894,3.7565246105942145,50.681081558458764,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,right,Homo sapiens,HSAnv,False,1272.3094,1816.0100911458333,42.09954,21.448988,9.260241
MN10AA0105,3,5,162.0328156,162.323929,3.4840567363429393,166.124237,156.687439,9.436797999999982,8.787561056672315,7.227309126500677,37.856863912439145,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,right,Homo sapiens,HSAnv,False,1272.3094,1816.0100911458333,42.09954,21.448988,9.260241
MN10AA0105,4,1,133.195328,133.195328,0.0,133.195328,133.195328,0.0,2.736395621745677,2.733987574953479,32.020548356642145,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,right,Homo sapiens,HSAnv,False,1272.3094,1816.0100911458333,42.09954,21.448988,9.260241
MN10AA0105,5,7,56.76948814285715,61.458675,16.149827192417106,74.81881,26.733913,48.084897,25.64266122218891,25.29956055013605,20.275416907973998,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,right,Homo sapiens,HSAnv,False,1272.3094,1816.0100911458333,42.09954,21.448988,9.260241
MN10AA0105,6,11,36.28574618181818,35.363148,12.730233611284264,56.28336,20.52743,35.755930000000006,35.52803868149067,32.79331705957785,23.401661255574528,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,right,Homo sapiens,HSAnv,False,1272.3094,1816.0100911458333,42.09954,21.448988,9.260241
MN10AA0105,7,2,163.06361399999997,163.06361399999997,2.234482,165.298096,160.829132,4.468964,6.20492698719263,5.771309049080629,17.389231474784506,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,right,Homo sapiens,HSAnv,False,1272.3094,1816.0100911458333,42.09954,21.448988,9.260241
MN10AA0203,1,18,85.54608872222224,81.709709,15.765223704739489,116.220268,55.074036,61.146232000000005,52.28262148794607,51.25834462426582,17.76143655469971,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,3283.1309,7811.990885416667,77.00485,24.24311,16.852058
MN10AA0203,2,12,101.2675901666667,93.599155,15.057313900998386,127.834839,79.174576,48.660263,37.67480260370634,33.59211184206792,30.780786435443627,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,3283.1309,7811.990885416667,77.00485,24.24311,16.852058
MN10AA0203,3,6,99.86935799999999,97.481506,12.977093631053576,118.087814,84.966217,33.121596999999994,19.51884554013725,18.06330503368639,51.505533920715166,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,3283.1309,7811.990885416667,77.00485,24.24311,16.852058
MN10AA0203,4,22,77.54908527272728,82.951931,13.957328920373202,99.005257,39.658707,59.34655,70.16480381161564,67.05471173221164,11.103216485396743,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,3283.1309,7811.990885416667,77.00485,24.24311,16.852058
MN10AA0207,1,6,79.85686733333334,81.66314299999999,10.45866302072111,93.930206,66.141174,27.78903199999999,17.76691480789953,16.293975948184045,80.77207622886438,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,1415.7914,2530.418294270833,39.75901,18.392242,9.719141
MN10AA0207,2,11,57.89980209090909,56.714264,8.628113982194154,73.391167,48.353729,25.037437999999995,24.701345020410297,24.32824395409582,6.754784473665095,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,1415.7914,2530.418294270833,39.75901,18.392242,9.719141
MN10AA0207,3,4,89.71880725000001,90.3744735,1.8532328631783415,91.435303,86.690979,4.744324000000006,13.616563097872435,12.081851451660876,49.95072468262415,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,1415.7914,2530.418294270833,39.75901,18.392242,9.719141
MN10AA0207,4,13,130.12942500000003,133.978546,15.65963690258706,151.610703,99.183189,52.427514,36.26363136652905,35.23353125915709,12.035440651552104,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,1415.7914,2530.418294270833,39.75901,18.392242,9.719141
MN10AA0302,1,17,89.40730276470589,86.55529,6.479764407187488,108.216133,83.20739,25.008742999999996,56.82347000365075,56.62922536517694,8.377620072070112,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,2314.4802,4319.266927083333,80.705185,17.984905,8.291865
MN10AA0302,2,3,89.568517,87.235092,4.206804665698894,95.474655,85.995804,9.478850999999992,13.040811021627405,12.87445634852206,25.402195722847974,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,2314.4802,4319.266927083333,80.705185,17.984905,8.291865
MN10AA0302,3,21,91.02366961904761,85.241493,12.754311914383646,115.00042,75.962685,39.03773500000001,70.16443790947693,68.79659699592706,8.241789856085088,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,2314.4802,4319.266927083333,80.705185,17.984905,8.291865
