Specimen,Species,Common,SzCl,SizeRangeLb,SizeRangeKg,SkelPort,LPort,Element,Side,ActorTaxon,Effector,NumBreaks,trab,Surface Area,Volume,Bounding Box Dim1,Bounding Box Dim2,Bounding Box Dim3
MN10AA0101,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,right,Homo sapiens,HSAnv,3,False,2140.8706,3382.5182291666665,82.50109,11.880726,8.557568
MN10AA0105,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,right,Homo sapiens,HSAnv,7,False,1272.3094,1816.0100911458333,42.09954,21.448988,9.260241
MN10AA0203,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,4,False,3283.1309,7811.990885416667,77.00485,24.24311,16.852058
MN10AA0207,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,4,False,1415.7914,2530.418294270833,39.75901,18.392242,9.719141
MN10AA0302,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,5,False,2314.4802,4319.266927083333,80.705185,17.984905,8.291865
MN10AA0304,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,10,False,6449.401,14867.10546875,106.74329,25.193531,17.282047
MN10AA0305,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,7,True,4063.5667,6258.709635416667,59.352997,25.89496,16.154682
MN10AA0306,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,9,False,8245.93,22732.79427083333,110.81813,26.50793,25.587662
MN10AA0307,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,10,False,2791.924,6137.978515625,61.617096,24.310425,13.651522
MN10AA0308,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,5,False,2491.065,4272.618489583333,91.47065,13.667789,10.224865
MN10AA0403,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,right,Homo sapiens,HSAnv,11,False,6964.7437,16603.479166666668,102.04968,28.943384,21.16525
