Specimen,Surface Area,Volume,Bounding Box Dim1,Bounding Box Dim2,Bounding Box Dim3,nv a 1,nv a 2,nv a 3,nv b 1,nv b 2,nv b 3,nv c 1,nv c 2,nv c 3
MN19050212,2400.501,3288.4567057291665,78.60061,16.046627,9.770964,0.070949435,0.033328783,-0.99692297,0.98236465,0.1709965,0.07563004,-0.172991,0.9847078,0.020608915
MN10AA0307,2791.924,6137.978515625,61.617096,24.310425,13.651522,0.031056821,0.037056535,-0.99883044,0.9973458,0.064691916,0.033410724,-0.06585434,0.997217,0.034949057
MN19080804,2763.742,4250.540690104167,75.15241,22.392643,10.313637,0.057146955,0.038121395,0.9976377,0.97054905,0.23211806,-0.064464875,0.23402722,-0.97194034,0.023733843
MN12AA1005,2637.509,3482.119140625,59.340862,30.777037,11.556171,0.36248738,0.0013076208,-0.93198776,-0.93091214,0.04855912,-0.36200088,-0.044783145,-0.9988195,-0.018819347
MN12AA0503,3175.6135,4742.731119791667,59.72175,27.676609,12.309722,0.05641281,0.006639962,0.9983854,0.99840546,0.0016757115,-0.056425083,0.0020476663,-0.9999766,0.0065348423
MN15AA3305,1510.4705,2199.5794270833335,51.919212,15.767164,9.527544,-0.07622164,0.061703328,0.9951799,0.94564974,-0.311969,0.09177085,-0.31612787,-0.9480865,0.034570947
MN19080817,1308.7731,1845.2890625,38.1362,18.268309,9.61135,0.060156208,-0.1223762,0.990659,-0.9980849,0.006956412,0.06146646,0.014413464,0.9924594,0.12172337
MN13AA0709,1209.2018,1192.1598307291667,47.923393,18.061268,6.0593605,0.18935251,-0.13430598,-0.97268057,-0.97839236,-0.109572016,-0.17533492,0.083030045,-0.9848634,0.15215167
MN19050201,4376.623,8309.163411458334,116.26503,19.385866,12.340544,0.04192739,0.046834793,-0.9980223,0.9918845,-0.12195457,0.035946503,0.12002984,0.99143004,0.051567942
MN10AA2114,745.7599,781.525634765625,40.904232,12.851627,4.379199,-0.055544604,0.10824384,0.9925714,0.93812466,-0.33466715,0.088994525,-0.34181416,-0.93609893,0.08295726
MN15AA2802,10349.867,26188.833333333332,111.5051,39.24572,26.225622,0.01365437,-0.045271404,0.9988814,-0.9945775,0.102386445,0.018235907,0.10309748,0.993714,0.0436279
MN14AA0310,2430.4514,3686.1126302083335,65.52967,21.835564,8.707014,0.054043908,0.057468615,0.99688345,0.99830264,-0.024811296,-0.052690517,-0.02170592,-0.99803895,0.05871197
MN14AA0115,1543.1704,2500.1012369791665,48.47576,20.639137,9.26096,0.017863339,-0.013534734,0.9997488,-0.9981466,0.057937227,0.018619072,0.058174677,0.9982285,0.012474696
