Specimen,Break Count,interior_edge_endosteal,interior_edge_break,Interrupted_False,Interrupted_True,ridge_notch_False,ridge_notch_True,interior_notch_False,interior_notch_True,Mean_min,Mean_max,Mean_mean,Mean_median,Mean_std,Median_min,Median_max,Median_mean,Median_median,Median_std,STD_min,STD_max,STD_mean,STD_median,STD_std,Max_min,Max_max,Max_mean,Max_median,Max_std,Min_min,Min_max,Min_mean,Min_median,Min_std,Range_min,Range_max,Range_mean,Range_median,Range_std,ArcLength_min,ArcLength_max,ArcLength_mean,ArcLength_median,ArcLength_std,EuclideanLength_min,EuclideanLength_max,EuclideanLength_mean,EuclideanLength_median,EuclideanLength_std,ArcAngle_min,ArcAngle_max,ArcAngle_mean,ArcAngle_median,ArcAngle_std,Species,Common,SzCl,SizeRangeLb,SizeRangeKg,SkelPort,LPort,Element,Side,ActorTaxon,Effector,trab,Surface Area,Volume,Bounding Box Dim1,Bounding Box Dim2,Bounding Box Dim3
MN10AA0101,3,3,0,3,0,3,0,3,0,84.28056922727272,138.645195,108.24199922575758,101.80023345,22.656866414466382,87.358612,138.645195,111.6351915,108.9017675,21.026683111811437,4.724388000000005,14.88191568414073,9.913347358090933,10.133738390132066,4.149720578446572,94.493729,143.369583,122.69149800000001,130.211182,20.649802447032776,51.146866,133.920807,87.227674,76.615349,34.61548216811941,9.44877600000001,53.595833000000006,35.46382400000001,43.346863000000006,18.86526593764235,8.673346036188526,72.00989454154076,48.679273441889926,65.35457974794049,28.418643815204206,8.387872933586921,69.44209199757738,47.50729247417533,64.69191249136169,27.72950041898514,1.5949496095036029,58.55713999961002,21.56229940930479,4.534808618800747,26.186820673450832,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,right,Homo sapiens,HSAnv,False,2140.87060546875,3382.518229166666,82.50109100341797,11.880725860595705,8.557567596435549
MN10AA0105,7,7,0,7,0,7,0,7,0,36.28574618181819,163.063614,109.13915411168833,133.195328,48.3934803480806,35.36314799999999,163.063614,110.95340728571429,133.195328,47.11822952090353,0.0,17.62160674625153,7.460029469470833,3.484056736342949,7.180967640875544,56.28336,166.12423700000005,118.68458842857144,133.195328,40.20455632591669,20.52743,160.82913200000004,97.68952585714285,133.195328,58.40130112659742,0.0,49.218849,20.995062571428573,9.436798000000039,20.827917993572967,2.736395621745677,35.52803868149067,14.343863377093966,8.787561056672315,11.51502482692876,2.733987574953479,32.79331705957785,13.445397463459654,7.227309126500678,10.892844430615572,17.389236133693082,55.81738811607893,33.9203155578706,32.0205506063821,13.88530767081864,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,right,Homo sapiens,HSAnv,False,1272.3094482421875,1816.010091145833,42.09954071044922,21.44898796081543,9.26024055480957
MN10AA0203,4,4,0,4,0,4,0,4,0,77.54908527272728,101.2675901666667,91.05803054040406,92.70772336111112,9.93412935559214,81.709709,97.48150600000001,88.93557525000001,88.275543,6.76015994710652,12.977093631053574,15.765223704739485,14.439240039291162,14.507321410685794,1.061880222202613,99.005257,127.834839,115.28704450000001,117.154041,10.383387776906787,39.658707,84.966217,64.718384,67.124306,18.302712148928816,33.121596999999994,61.14623199999999,50.5686605,54.0034065,11.146505828093181,19.518845540137246,70.16480381161566,44.91026836085132,44.97871204582619,18.63611727967761,18.06330503368639,67.05471173221164,42.49211830805795,42.42522823316688,18.4129353487978,11.103211056975727,51.50553295753306,27.787740442032895,24.271108876811397,15.414217085934151,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,3283.130859375,7811.990885416668,77.00485229492188,24.24311065673828,16.852058410644528
MN10AA0207,4,4,0,4,0,4,0,4,0,57.89980209090909,130.12942500000003,89.40122541856061,84.78783729166668,26.183590005441253,56.714264,133.978546,90.682606625,86.01880825,27.882935359994324,1.8532328631783412,15.659636902587064,9.14991169217017,9.543388501457637,4.9397152534006175,73.39116700000002,151.610703,102.59184475,92.6827545,29.389711017837225,48.353729,99.183189,75.09226774999999,76.4160765,19.429192746619186,4.744324000000006,52.427514,27.49957700000001,26.413235000000014,16.921506248132314,13.616563097872437,36.26363136652905,23.087113573177827,21.234129914154913,8.576453310242984,12.081851451660874,35.2335312591571,21.98440065327446,20.311109951139933,8.824319764792389,6.75478525291368,80.7720761800613,37.37825682941348,30.99308294233947,30.087978647767503,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,1415.7913818359375,2530.418294270833,39.759010314941406,18.392242431640625,9.719141006469727
MN10AA0302,5,5,0,5,0,5,0,5,0,59.63189199999999,96.27707475,85.1816912267507,89.568517,13.016362939207488,60.795929,97.9279785,83.5511565,86.55529,12.24701454015349,4.206804665698892,12.754311914383646,8.818991748813309,7.9991408216690765,3.394631940760224,68.794777,115.00042,99.45832820000001,108.216133,16.6219492202004,49.30497,85.995804,74.78350700000001,79.446686,13.183087313797117,9.478850999999992,39.037735,24.674821199999997,25.00874300000001,9.965101371775173,7.624465667608063,70.16443790947692,31.461175589275786,13.040811021627407,26.549188163574293,7.226230398347398,68.79659699592706,30.941502476860894,12.87445634852206,26.28771157500043,8.241789859144836,55.51172292595746,28.893750425571547,25.402195757469112,19.460855430189604,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,2314.480224609375,4319.266927083333,80.70518493652344,17.984905242919922,8.291865348815918
MN10AA0304,10,10,0,10,0,10,0,10,0,61.566746428571435,127.34648342857143,83.76822812460318,79.43167131818183,17.44702871772956,59.710545,121.389,82.87723395,82.72312550000001,17.348650816653393,0.0,22.391668982079235,10.947237024126498,9.60871068250861,6.8425106633479205,75.898575,146.14035,100.16614760000002,99.18632149999999,18.426073572684984,24.634039,116.967308,68.2014132,65.72752,24.308571807198017,0.0,73.201151,31.964734400000005,27.576328000000004,21.83969389540771,4.452067822870854,104.33655367666712,27.651933934259738,21.653462247170935,27.355230159781154,4.446117956150063,102.90385784357164,24.701149053584935,15.966798142739677,27.64856581613002,2.4765465398212,76.80889556556127,27.996432925850524,16.574999406409997,24.958548015216902,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,6449.40087890625,14867.10546875,106.74329376220705,25.193531036376953,17.282047271728516
MN10AA0305,7,7,0,7,0,7,0,7,0,65.333748,94.03068005555555,75.2295353531746,69.411774,11.003235644202308,63.32038299999999,98.42506,75.33415849999999,69.411774,12.761641532875137,0.0,28.22007396308373,9.215546912736423,2.23733329048757,10.622109669039068,65.333748,141.950897,91.17904228571429,92.359093,24.11322864953346,46.986626,85.455574,62.34653042857143,65.333748,14.413098892489527,0.0,94.843159,28.832511857142855,6.903519000000002,34.32945795562987,4.240526434987705,57.5399478480935,21.165839224945156,20.43401772427453,17.944234449532548,3.9040606821615897,49.98356780552985,19.124037662498758,17.15074136036107,15.714326949876497,13.32651334819208,67.2741479468278,32.92718811004044,20.512634390435775,20.685332864624254,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,True,4063.566650390625,6258.709635416668,59.35299682617188,25.894960403442386,16.154682159423828
MN10AA0306,9,9,0,9,0,9,0,9,0,84.97606019999998,142.16768535714286,104.76566591257816,99.43920233333334,20.195995896376147,80.274311,141.89675900000003,105.09337311111112,100.570953,20.232650572855356,3.584315455995978,25.109264378049826,13.10565457367606,11.167977448583544,7.112962033525669,96.596725,160.612778,124.14030366666667,121.813835,19.71701779157592,53.609695,135.502823,84.97636255555555,73.11709599999998,27.75904147565083,9.726531999999992,80.39843300000003,39.163941111111114,34.488319000000004,22.50334968783047,9.700345573351868,71.51114032066188,31.174501620101644,28.585390952602907,18.121868603863273,8.911427695941878,70.01047923568301,29.285377138267236,25.534816296969915,18.393755698319335,0.5450934413472583,89.87329570854313,36.27836053370183,37.54371211776447,30.38701215432275,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,8245.9296875,22732.79427083333,110.81813049316406,26.507930755615234,25.587661743164066
MN10AA0307,10,10,0,10,0,10,0,0,10,89.45543716666666,159.99599075,127.91093373333334,132.48101737500002,23.912658704538934,91.40333199999999,159.9993285,127.78783014999999,132.0655215,23.93133787183178,0.0,16.52824531914975,4.738923310905067,3.057205074433454,4.778928047597887,106.068817,165.483948,134.757058,136.17321800000002,22.32322910140241,66.133408,158.511078,121.9306809,129.9248585,26.59246699277,0.0,50.686088,12.826377099999997,8.682735999999982,14.182651909378729,4.379125248932665,49.03189401426957,15.436248572582736,9.753993088775044,12.812975216226608,4.305958802636175,47.285573652542276,14.549767325206343,8.852492742588518,12.545996311808,12.058492746868982,85.4012326791887,41.927459171666015,36.9001723915105,26.10639388575752,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,2791.924072265625,6137.978515625,61.61709594726562,24.3104248046875,13.651521682739258
MN10AA0308,5,5,0,5,0,5,0,5,0,76.42332474999998,119.01072125,96.43210913446153,101.5508621923077,15.207570484167004,75.591766,114.1060105,93.4914741,97.714714,15.228177595281766,9.755899505497894,16.829517801816174,13.79310479806855,13.759995938293665,2.751470963160846,91.111542,144.765732,120.105789,115.835258,18.892260576800208,61.821457,103.065132,79.4832992,75.047943,14.966077496021573,23.074057999999994,61.204025,40.6224898,41.70060000000002,13.515016628398612,9.397930527032614,83.11632419995655,39.04732866179059,11.585301945793052,34.761545800964484,9.188253434684967,82.07830523810784,38.36918324270243,11.017357066919454,34.72613023439156,5.101217998120099,61.3899665188223,27.761096108085933,27.07884899946411,21.411378583796136,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,2491.06494140625,4272.618489583333,91.47064971923828,13.667789459228516,10.224864959716797
