Specimen,BreakNo,interior_edge,Interrupted,Interruptedby,ridge_notch,interior_notch,ep1,ep2
MN10AA0101,1,endosteal,False,Not_interrupted,False,False,0,1
MN10AA0101,2,endosteal,False,Not_interrupted,False,False,1,2
MN10AA0101,3,endosteal,False,Not_interrupted,False,True,2,0
MN10AA0105,1,endosteal,False,Not_interrupted,False,False,0,1
MN10AA0105,2,endosteal,False,Not_interrupted,False,False,1,2
MN10AA0105,3,endosteal,False,Not_interrupted,False,False,2,3
MN10AA0105,4,endosteal,False,Not_interrupted,False,False,3,4
MN10AA0105,5,endosteal,False,Not_interrupted,False,False,5,6
MN10AA0105,6,endosteal,False,Not_interrupted,False,False,6,0
MN10AA0105,7,endosteal,False,Not_interrupted,False,False,4,5
MN10AA0203,1,endosteal,False,Not_interrupted,False,False,0,1
MN10AA0203,2,endosteal,False,Not_interrupted,False,False,1,2
MN10AA0203,3,endosteal,False,Not_interrupted,False,False,2,3
MN10AA0203,4,endosteal,False,Not_interrupted,False,False,3,0
MN10AA0207,1,endosteal,False,Not_interrupted,False,False,0,1
MN10AA0207,2,endosteal,False,Not_interrupted,False,False,1,2
MN10AA0207,3,endosteal,False,Not_interrupted,False,False,2,3
MN10AA0207,4,endosteal,False,Not_interrupted,False,False,3,0
MN10AA0302,1,endosteal,False,Not_interrupted,False,False,0,1
MN10AA0302,2,endosteal,False,Not_interrupted,False,False,1,2
MN10AA0302,3,endosteal,False,Not_interrupted,False,False,4,0
MN10AA0302,4,endosteal,False,Not_interrupted,False,False,2,3
MN10AA0302,5,endosteal,False,Not_interrupted,False,False,3,4
MN10AA0304,1,endosteal,False,Not_interrupted,False,False,0,1
MN10AA0304,2,endosteal,False,Not_interrupted,False,False,2,3
MN10AA0304,3,endosteal,False,Not_interrupted,False,False,3,4
MN10AA0304,4,break,False,Not_interrupted,False,False,4,5
MN10AA0304,5,endosteal,False,Not_interrupted,False,False,5,6
MN10AA0304,6,endosteal,False,Not_interrupted,False,False,6,7
MN10AA0304,7,break,False,Not_interrupted,False,False,7,8
MN10AA0304,8,endosteal,True,9_,False,False,8,0
MN10AA0304,9,endosteal,False,Not_interrupted,True,False,9,10
MN10AA0304,10,break,False,Not_interrupted,True,False,1,2
MN10AA0305,1,endosteal,False,Not_interrupted,False,False,0,1
MN10AA0305,2,endosteal,False,Not_interrupted,False,False,1,2
MN10AA0305,3,endosteal,False,Not_interrupted,False,False,2,3
MN10AA0305,4,break,False,Not_interrupted,False,False,7,4
MN10AA0305,5,break,False,Not_interrupted,False,False,4,5
MN10AA0305,6,endosteal,False,Not_interrupted,False,False,5,0
MN10AA0305,7,endosteal,False,Not_interrupted,False,False,3,6
MN10AA0306,1,endosteal,False,Not_interrupted,False,False,0,1
MN10AA0306,2,endosteal,False,Not_interrupted,False,False,1,2
MN10AA0306,3,break,False,Not_interrupted,False,False,2,3
MN10AA0306,4,endosteal,False,Not_interrupted,False,False,3,4
MN10AA0306,5,break,False,Not_interrupted,False,False,4,5
MN10AA0306,6,endosteal,False,Not_interrupted,False,False,5,6
MN10AA0306,7,endosteal,False,Not_interrupted,False,False,6,7
MN10AA0306,8,endosteal,False,Not_interrupted,False,False,7,8
MN10AA0306,9,endosteal,False,Not_interrupted,False,False,8,0
MN10AA0307,1,endosteal,False,Not_interrupted,False,True,0,1
MN10AA0307,2,break,False,Not_interrupted,False,False,1,2
MN10AA0307,3,break,False,Not_interrupted,False,False,2,3
MN10AA0307,4,break,False,Not_interrupted,False,False,4,5
MN10AA0307,5,endosteal,False,Not_interrupted,False,False,5,6
