Test: breaks,Reps:,300,Numbers correspond to the number of times that algorithm was able to correctly classify that specimen before voting
Specimen,Appearences,Random Forest (no bootstrap),Random Forest,Extra Trees,SVM - linear,SVM - RBF,Neural Network,LDA,Naive Bayes,KNN
MN10AA0101,204,142,121,81,120,117,122,125,136,121
MN10AA0105,588,171,158,100,182,212,111,260,2,51
MN10AA0203,280,270,278,279,248,279,279,276,162,276
MN10AA0207,316,208,216,242,79,200,138,178,0,194
MN10AA0302,380,200,192,173,211,169,157,307,152,191
MN10AA0304,850,850,850,850,841,840,850,850,785,847
MN10AA0305,623,148,158,87,35,54,219,67,89,127
MN10AA0306,666,655,659,666,663,666,666,666,666,666
MN10AA0307,830,195,194,0,30,0,0,0,0,0
MN10AA0308,325,189,170,151,128,124,129,130,130,112
MN10AA0403,825,825,825,825,819,817,824,825,819,815
MN10AA0503,228,218,215,228,77,219,228,61,224,228
MN10AA0506,236,121,151,138,216,211,141,235,1,147
MN10AA0603,852,636,605,795,264,407,609,504,80,529
MN10AA0604,192,172,166,156,192,190,168,192,133,123
MN10AA0607,390,232,249,237,0,133,152,0,46,312
MN10AA0705,518,290,291,290,233,206,334,343,80,205
MN10AA0706,415,194,187,158,162,167,149,167,166,160
MN10AA0707,444,195,195,213,3,160,131,42,90,148
MN10AA0708,330,270,240,212,38,113,39,153,0,147
MN10AA0709,414,314,326,98,36,24,25,20,0,18
MN10AA0803,312,146,198,262,192,202,289,212,234,238
MN10AA0804,553,48,40,192,15,82,145,26,218,135
MN10AA0809,288,187,211,199,108,254,121,203,69,163
MN10AA0903,462,462,462,462,462,462,462,462,462,462
MN10AA0904,468,408,418,382,420,421,200,466,119,347
MN10AA0905,296,181,160,115,11,53,6,2,2,3
MN10AA0906,192,25,12,8,0,1,10,0,0,11
MN10AA0907,445,444,441,445,445,445,445,445,182,445
MN10AA0908,261,211,214,210,3,101,67,7,0,124
MN10AA1003,730,706,683,730,730,719,698,730,367,726
MN10AA1004,560,412,371,394,330,339,151,506,2,339
MN10AA1005,360,261,225,162,268,160,139,338,5,147
MN10AA1007,510,24,41,96,3,42,70,7,9,259
MN10AA1011,410,297,296,300,24,170,120,77,83,141
MN10AA1302,390,387,390,347,224,317,333,165,390,263
MN10AA1406,246,179,179,168,148,184,133,200,10,190
MN10AA1508,152,129,128,118,0,150,113,1,0,144
MN10AA1509,356,129,138,108,123,189,212,148,89,210
MN10AA1514,130,109,99,66,0,17,16,0,0,27
MN10AA1904,320,107,114,144,227,117,162,279,274,75
MN10AA1905,162,66,82,108,157,162,162,162,162,162
MN10AA1906,405,234,254,239,351,262,189,398,162,187
MN10AA1907,405,194,203,286,63,169,189,100,6,153
MN10AA2003,474,474,474,467,472,253,410,474,472,196
MN10AA2004,248,220,210,190,234,186,156,248,127,136
MN10AA2005,657,651,652,657,657,657,604,657,364,644
MN10AA2006,390,287,283,242,297,286,284,311,156,142
MN10AA2007,410,244,241,232,208,247,194,246,83,152
MN10AA2105,438,438,436,438,387,343,409,395,224,346
MN10AA2106,912,461,394,839,347,599,758,648,26,788
MN10AA2109,390,118,121,194,99,156,141,125,88,194
MN10AA2110,192,169,153,151,65,128,116,101,49,160
MN10AA2112,344,226,222,265,17,148,111,37,6,289
MN10AA2113,260,120,124,131,2,133,121,2,0,161
MN10AA2114,270,260,255,263,73,229,149,118,0,247
MN10AA2204,567,526,535,459,530,364,481,550,557,281
MN10AA2206,432,290,306,213,211,224,179,312,72,155
MN10AA2207,780,365,246,223,75,164,122,173,0,198
MN10AA2208,720,94,77,55,314,170,83,476,2,112
MN10AA2211,154,148,141,149,86,147,99,80,154,17
MN10AA2303,568,539,510,455,463,480,220,560,44,283
MN10AA2304,384,241,203,251,362,325,177,382,54,176
MN10AA2305,272,258,254,216,86,136,114,117,80,122
MN10AA2306,415,396,368,294,188,218,135,284,0,150
MN10AA2310,415,165,166,240,4,82,78,8,0,278
MN10AA2404,504,504,504,504,504,504,504,504,504,504
MN10AA2405,480,204,205,142,172,185,167,369,80,176
MN10AA2408,375,116,133,171,161,241,234,221,76,233
MN10AA2409,365,163,199,193,337,323,132,365,72,78
MN10AA2504,390,316,309,349,390,389,372,390,195,362
MN10AA2505,584,549,531,537,461,428,297,557,6,346
MN10AA2506,630,539,433,438,7,154,153,11,3,174
MN10AA2507,498,148,105,121,183,168,144,235,166,154
MN10AA2508,390,265,250,199,260,177,135,285,99,144
MN10AA2509,156,106,106,130,137,125,57,154,104,73
MN10AA2603,272,272,272,272,272,272,271,272,241,272
MN10AA2604,490,433,416,384,426,407,281,481,41,240
MN10AA2605,518,184,178,151,150,170,99,273,76,89
MN10AA2606,228,181,167,171,119,90,147,122,152,130
MN10AA2607,450,24,13,6,0,2,13,0,0,2
MN10AA2608,486,196,178,177,25,159,152,30,106,169
MN10AA2703,438,145,202,144,294,258,300,298,411,183
MN10AA2704,402,399,401,402,401,402,402,402,343,402
MN10AA2705,1248,981,903,819,907,249,199,1182,171,117
MN10AA2803,375,375,375,370,324,294,326,367,155,238
MN10AA2804,280,280,279,277,274,234,228,280,151,145
MN10AA2805,415,181,176,190,215,209,129,361,89,173
MN10AA2806,415,29,47,119,293,358,187,395,81,242
MN10AA2807,420,213,198,28,0,44,0,0,0,0
MN10AA2808,216,189,205,216,215,216,170,216,90,201
MN10AA2809,282,170,161,161,0,21,53,0,0,117
MN10AA2902,438,310,271,349,353,374,259,430,182,311
MN10AA2904,328,306,312,251,267,259,157,322,95,201
MN10AA2905,296,149,151,153,256,288,173,293,0,215
