Test: frags,Reps:,300,Numbers correspond to the number of times that algorithm was able to correctly classify that specimen
Specimen,Appearences,Random Forest (no bootstrap),Random Forest,Extra Trees,SVM - linear,SVM - RBF,Neural Network,LDA,Naive Bayes,KNN
MN10AA0101,75,75,75,75,58,75,75,49,75,75
MN10AA0105,69,0,0,0,0,0,0,0,0,0
MN10AA0203,66,66,66,66,66,66,66,66,66,66
MN10AA0207,89,89,89,89,89,89,89,89,87,89
MN10AA0302,88,88,88,88,88,88,88,88,88,88
MN10AA0304,77,77,77,77,74,77,77,67,77,77
MN10AA0305,76,74,75,76,76,76,76,76,76,76
MN10AA0306,77,77,77,77,77,77,77,77,77,77
MN10AA0307,75,22,17,14,0,0,3,0,0,5
MN10AA0308,67,67,67,67,67,67,67,67,67,67
MN10AA0403,73,23,25,31,73,73,72,73,8,42
MN10AA0503,65,65,65,65,64,65,65,38,65,65
MN10AA0506,75,75,75,75,75,75,75,75,75,75
MN10AA0603,80,0,0,0,0,0,0,0,0,2
MN10AA0604,77,77,77,77,77,77,77,77,77,77
MN10AA0607,81,81,81,81,81,81,81,80,81,81
MN10AA0705,85,85,85,85,85,85,85,85,70,85
MN10AA0706,79,79,79,79,79,79,79,79,17,79
MN10AA0707,75,72,70,66,0,57,0,12,23,56
MN10AA0708,72,72,72,72,71,72,70,71,0,61
MN10AA0709,79,78,78,79,78,79,79,79,1,79
MN10AA0803,83,83,83,83,83,83,83,83,83,83
MN10AA0804,77,43,49,48,28,24,13,33,0,67
MN10AA0809,66,63,66,66,66,66,66,66,66,66
MN10AA0903,75,75,75,75,75,75,75,75,75,75
MN10AA0904,71,71,71,71,71,71,71,70,71,71
MN10AA0905,70,69,70,70,70,70,70,57,44,70
MN10AA0906,72,72,72,72,72,72,72,72,72,72
MN10AA0907,88,88,88,88,88,88,88,88,88,88
MN10AA0908,76,76,76,76,76,76,76,76,0,76
MN10AA1003,64,8,18,39,64,41,5,64,0,10
MN10AA1004,69,64,69,69,61,69,69,55,0,69
MN10AA1005,66,66,66,66,5,50,24,41,0,57
MN10AA1007,76,16,35,50,58,49,42,70,0,46
MN10AA1011,71,65,64,70,60,31,0,68,37,60
MN10AA1302,74,74,74,74,74,74,74,74,74,74
MN10AA1406,72,66,65,72,72,60,72,72,72,72
MN10AA1508,79,79,79,79,79,79,79,79,79,79
MN10AA1509,83,83,83,83,83,83,83,83,83,83
MN10AA1514,66,66,66,66,66,66,66,65,66,66
MN10AA1904,70,70,70,70,70,70,70,70,70,70
MN10AA1905,64,64,64,64,59,64,64,64,64,64
MN10AA1906,75,75,75,75,61,75,75,30,75,75
MN10AA1907,85,8,10,1,6,0,1,1,0,0
MN10AA2003,71,71,71,71,71,71,71,71,69,71
MN10AA2004,82,82,82,82,82,82,82,82,82,82
